# Angle,y_shift, x_shift, scanNo
-57.5,19.0,-23.0,1537.0
-57.0,23.0,-15.0,1538.0
-56.5,21.0,-5.0,1539.0
-56.0,22.0,9.0,1540.0
-55.5,23.0,17.0,1541.0
-55.0,23.0,24.0,1542.0
-54.5,25.0,28.0,1543.0
-54.0,26.0,30.0,1544.0
-53.5,26.0,36.0,1545.0
-53.0,25.0,39.0,1546.0
-52.5,25.0,50.0,1547.0
-52.0,24.0,57.0,1548.0
-51.5,23.0,60.0,1549.0
-51.0,24.0,61.0,1550.0
-50.5,24.0,67.0,1551.0
-50.0,21.0,73.0,1552.0
-49.5,20.0,83.0,1553.0
-49.0,20.0,82.0,1554.0
-48.5,23.0,79.0,1555.0
-48.0,20.0,79.0,1556.0
-47.5,21.0,80.0,1557.0
-47.0,19.0,79.0,1558.0
-46.5,18.0,82.0,1559.0
-46.0,15.0,38.0,1560.0
-45.5,14.0,38.0,1561.0
-45.0,15.0,49.0,1562.0
-44.5,13.0,54.0,1563.0
-44.0,13.0,64.0,1564.0
-43.5,11.0,62.0,1565.0
-43.0,11.0,66.0,1566.0
-42.5,6.0,68.0,1567.0
-42.0,5.0,67.0,1568.0
-41.5,5.0,72.0,1569.0
-41.0,5.0,70.0,1570.0
-40.5,6.0,23.0,1571.0
-40.0,6.0,16.0,1572.0
-39.5,7.0,14.0,1573.0
-39.0,11.0,15.0,1574.0
-38.5,10.0,16.0,1575.0
-38.0,10.0,20.0,1576.0
-37.5,10.0,18.0,1577.0
-37.0,10.0,23.0,1578.0
-36.5,9.0,33.0,1579.0
-36.0,8.0,30.0,1580.0
-35.5,7.0,37.0,1581.0
-35.0,7.0,38.0,1582.0
-34.5,4.0,42.0,1583.0
-34.0,3.0,39.0,1584.0
-33.5,1.0,47.0,1585.0
-33.0,1.0,47.0,1586.0
-32.5,1.0,42.0,1587.0
-32.0,2.0,36.0,1588.0
-31.5,1.0,30.0,1589.0
-31.0,3.0,33.0,1590.0
-30.5,2.0,31.0,1591.0
-30.0,1.0,31.0,1592.0
-29.5,3.0,28.0,1593.0
